Datetime,Requests
01-10-2016,5
02-10-2016,9
03-10-2016,6
04-10-2016,1
05-10-2016,2
06-10-2016,5
07-10-2016,3
08-10-2016,8
09-10-2016,0
10-10-2016,8
11-10-2016,7
12-10-2016,3
13-10-2016,6
14-10-2016,5
15-10-2016,9
16-10-2016,7
17-10-2016,8
18-10-2016,7
19-10-2016,6
20-10-2016,2
21-10-2016,10
22-10-2016,8
23-10-2016,8
24-10-2016,3
25-10-2016,1
26-10-2016,0
27-10-2016,0
28-10-2016,8
29-10-2016,0
30-10-2016,5
31-10-2016,5
01-11-2016,1
02-11-2016,2
03-11-2016,7
04-11-2016,3
05-11-2016,6
06-11-2016,2
07-11-2016,0
08-11-2016,6
09-11-2016,7
10-11-2016,2
11-11-2016,3
12-11-2016,6
13-11-2016,2
14-11-2016,0
15-11-2016,8
16-11-2016,9
17-11-2016,7
18-11-2016,8
19-11-2016,9
20-11-2016,2
21-11-2016,1
22-11-2016,9
23-11-2016,5
24-11-2016,10
25-11-2016,5
26-11-2016,3
27-11-2016,2
28-11-2016,2
29-11-2016,9
30-11-2016,9
01-12-2016,9
02-12-2016,9
03-12-2016,5
04-12-2016,5
05-12-2016,4
06-12-2016,8
07-12-2016,3
08-12-2016,7
09-12-2016,1
10-12-2016,3
11-12-2016,8
12-12-2016,7
13-12-2016,9
14-12-2016,5
15-12-2016,8
16-12-2016,0
17-12-2016,10
18-12-2016,8
19-12-2016,3
20-12-2016,9
21-12-2016,3
22-12-2016,4
23-12-2016,1
24-12-2016,9
25-12-2016,6
26-12-2016,10
27-12-2016,7
28-12-2016,10
29-12-2016,9
30-12-2016,3
31-12-2016,5
01-01-2017,0
02-01-2017,4
03-01-2017,0
04-01-2017,7
05-01-2017,8
06-01-2017,9
07-01-2017,5
08-01-2017,2
09-01-2017,2
10-01-2017,7
11-01-2017,8
12-01-2017,9
13-01-2017,2
14-01-2017,8
15-01-2017,2
16-01-2017,3
17-01-2017,5
18-01-2017,2
19-01-2017,2
20-01-2017,5
21-01-2017,5
22-01-2017,10
23-01-2017,0
24-01-2017,8
25-01-2017,9
26-01-2017,1
27-01-2017,3
28-01-2017,0
29-01-2017,9
30-01-2017,7
31-01-2017,10
01-02-2017,1
02-02-2017,4
03-02-2017,7
04-02-2017,2
05-02-2017,7
06-02-2017,2
07-02-2017,10
08-02-2017,6
09-02-2017,5
10-02-2017,9
11-02-2017,2
12-02-2017,9
13-02-2017,10
14-02-2017,10
15-02-2017,4
16-02-2017,1
17-02-2017,10
18-02-2017,8
19-02-2017,3
20-02-2017,6
21-02-2017,2
22-02-2017,8
23-02-2017,5
24-02-2017,10
25-02-2017,1
26-02-2017,9
27-02-2017,7
28-02-2017,6
01-03-2017,2
02-03-2017,8
03-03-2017,2
04-03-2017,4
05-03-2017,4
06-03-2017,1
07-03-2017,8
08-03-2017,6
09-03-2017,2
10-03-2017,6
11-03-2017,9
12-03-2017,5
13-03-2017,2
14-03-2017,2
15-03-2017,10
16-03-2017,1
17-03-2017,0
18-03-2017,1
19-03-2017,6
20-03-2017,8
21-03-2017,0
22-03-2017,6
23-03-2017,5
24-03-2017,4
25-03-2017,9
26-03-2017,0
27-03-2017,7
28-03-2017,0
29-03-2017,2
30-03-2017,7
31-03-2017,2
01-04-2017,7
02-04-2017,1
03-04-2017,5
04-04-2017,7
05-04-2017,10
06-04-2017,6
07-04-2017,7
08-04-2017,6
09-04-2017,5
10-04-2017,0
11-04-2017,8
12-04-2017,4
13-04-2017,9
14-04-2017,0
15-04-2017,6
16-04-2017,8
17-04-2017,1
18-04-2017,9
19-04-2017,1
20-04-2017,2
21-04-2017,1
22-04-2017,10
23-04-2017,0
24-04-2017,3
25-04-2017,2
26-04-2017,4
27-04-2017,6
28-04-2017,10
29-04-2017,1
30-04-2017,2
01-05-2017,3
02-05-2017,1
03-05-2017,0
04-05-2017,2
05-05-2017,10
06-05-2017,3
07-05-2017,7
08-05-2017,0
09-05-2017,8
10-05-2017,7
11-05-2017,1
12-05-2017,7
13-05-2017,8
14-05-2017,8
15-05-2017,2
16-05-2017,0
17-05-2017,4
18-05-2017,10
19-05-2017,5
20-05-2017,4
21-05-2017,7
22-05-2017,6
23-05-2017,2
24-05-2017,9
25-05-2017,6
26-05-2017,7
27-05-2017,8
28-05-2017,7
29-05-2017,0
30-05-2017,0
31-05-2017,4
01-06-2017,10
02-06-2017,9
03-06-2017,4
04-06-2017,1
05-06-2017,0
06-06-2017,1
07-06-2017,2
08-06-2017,2
09-06-2017,7
10-06-2017,5
11-06-2017,2
12-06-2017,2
13-06-2017,6
14-06-2017,10
15-06-2017,2
16-06-2017,8
17-06-2017,2
18-06-2017,4
19-06-2017,8
20-06-2017,9
21-06-2017,3
22-06-2017,2
23-06-2017,2
24-06-2017,8
25-06-2017,10
26-06-2017,0
27-06-2017,3
28-06-2017,1
29-06-2017,4
30-06-2017,0
01-07-2017,7
02-07-2017,4
03-07-2017,10
04-07-2017,4
05-07-2017,4
06-07-2017,6
07-07-2017,5
08-07-2017,0
09-07-2017,3
10-07-2017,5
11-07-2017,5
12-07-2017,1
13-07-2017,9
14-07-2017,3
15-07-2017,8
16-07-2017,8
17-07-2017,2
18-07-2017,10
19-07-2017,9
20-07-2017,7
21-07-2017,8
22-07-2017,8
23-07-2017,9
24-07-2017,3
25-07-2017,9
26-07-2017,7
27-07-2017,6
28-07-2017,7
29-07-2017,2
30-07-2017,8
31-07-2017,6
01-08-2017,4
02-08-2017,1
03-08-2017,1
04-08-2017,7
05-08-2017,3
06-08-2017,2
07-08-2017,6
08-08-2017,1
09-08-2017,5
10-08-2017,5
11-08-2017,4
12-08-2017,8
13-08-2017,2
14-08-2017,9
15-08-2017,7
16-08-2017,10
17-08-2017,2
18-08-2017,8
19-08-2017,7
20-08-2017,2
21-08-2017,2
22-08-2017,0
23-08-2017,1
24-08-2017,5
25-08-2017,3
26-08-2017,0
27-08-2017,1
28-08-2017,9
29-08-2017,4
30-08-2017,9
31-08-2017,2
01-09-2017,5
02-09-2017,10
03-09-2017,2
04-09-2017,7
05-09-2017,2
